frame,ax,ay
0,59,44
1,59,44
2,59,44
3,59,44
4,59,44
5,59,44
6,59,44
7,59,44
8,59,44
9,59,44
10,59,45
11,59,44
12,59,44
13,59,45
14,59,44
15,59,44
16,59,44
17,59,45
18,59,44
19,59,44
20,59,44
21,59,45
22,59,44
23,59,44
24,59,44
25,59,44
26,60,44
27,58,44
28,59,44
29,59,44
30,59,44
31,59,45
32,59,44
33,59,44
34,59,44
35,59,44
36,59,44
37,59,44
38,59,44
39,60,44
40,58,44
41,59,44
42,59,44
43,59,44
44,60,44
45,58,45
46,59,44
47,60,44
48,59,44
49,59,44
50,59,45
51,59,44
52,60,44
53,59,44
54,59,45
55,59,44
56,59,44
57,60,44
58,59,44
59,59,44
60,59,44
61,59,45
62,59,44
63,59,44
64,60,44
65,58,44
66,59,44
67,59,44
68,60,44
69,58,44
70,59,44
71,59,45
72,60,44
73,58,44
74,59,44
75,59,44
76,60,44
77,59,44
78,59,44
79,59,45
80,59,44
81,59,44
82,59,44
83,59,44
84,60,45
85,59,44
86,59,44
87,59,44
88,59,44
89,59,44
90,59,45
91,60,44
92,59,44
93,59,45
94,59,44
95,59,44
96,59,45
97,59,44
98,59,44
99,60,44
100,58,44
101,59,45
102,59,44
103,60,44
104,58,44
105,59,44
106,59,45
107,60,44
108,58,44
109,59,44
110,59,44
111,60,44
112,58,45
113,59,44
114,59,44
115,60,44
116,59,45
117,59,44
118,59,44
119,59,44
120,59,44
121,59,45
122,59,44
123,59,44
124,59,44
125,59,44
126,59,44
127,59,45
128,60,44
129,58,44
130,59,44
131,59,44
132,59,44
133,59,45
134,59,44
135,59,44
136,59,44
137,59,44
138,59,45
139,59,44
140,59,44
141,60,44
142,58,44
143,59,44
144,59,45
145,59,44
146,59,44
147,59,44
148,59,44
149,60,45
150,58,44
151,59,44
152,59,44
153,60,44
